,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
10,EQOB,2018-10-15,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.95,6.9,,8.47,,0,104.68,104.45,105.95,577809.8,503453.0,577809.8,2021-12-17,943,,,,,26.18,,2018-10-12,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,КалинОбл16,RU000A0JX2S9,1,2119.4,105.97,105.97,105.97,105.97,7.19,105.97,8.46,105.97,2,104.68,104.46,105.97,575725.8,505572.4,575725.8,2021-12-17,943,8.46,,,,26.18,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.97,7.48,,8.46,,0,104.68,104.46,105.97,575725.8,505572.4,575725.8,2021-12-17,941,,,,,26.18,,2018-10-16,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,КалинОбл16,RU000A0JX2S9,7,12626.2,103.86,105.59,105.59,105.59,7.77,105.22,8.61,103.86,12,104.65,104.48,105.59,575554.0,506733.3,575554.0,2021-12-17,941,8.76,,,,26.18,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,КалинОбл16,RU000A0JX2S9,3,589248.8,105.98,105.98,105.98,105.98,8.05,105.98,8.45,105.98,556,105.96,105.96,105.98,601875.0,601875.0,601875.0,2021-12-17,940,8.45,,,,26.18,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.98,8.92,,8.45,,0,105.96,105.96,105.98,601875.0,601875.0,601875.0,2021-12-17,937,,,,,26.18,,2018-10-19,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.98,9.21,,8.45,,0,105.96,105.96,105.98,601875.0,601875.0,601875.0,2021-12-17,936,,,,,26.18,,2018-10-19,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.98,9.49,,8.44,,0,105.96,105.96,105.98,601875.0,601875.0,601875.0,2021-12-17,935,,,,,26.18,,2018-10-19,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,КалинОбл16,RU000A0JX2S9,1,1067.8,106.78,106.78,106.78,106.78,9.78,106.78,8.13,106.78,1,105.97,105.97,106.78,606121.7,601904.2,606121.7,2021-12-17,935,8.13,,,,26.18,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,КалинОбл16,RU000A0JX2S9,1,10675.0,106.75,106.75,106.75,106.75,10.07,106.75,8.14,106.75,10,105.98,105.99,106.75,615737.2,611539.2,615737.2,2021-12-17,934,8.14,,,,26.18,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,КалинОбл16,RU000A0JX2S9,0,0.0,,,,106.75,10.93,,8.13,,0,105.98,105.99,106.75,615737.2,611539.2,615737.2,2021-12-17,930,,,,,26.18,,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,КалинОбл16,RU000A0JX2S9,0,0.0,,,,106.75,11.22,,8.13,,0,105.98,105.99,106.75,613617.8,611539.2,613617.8,2021-12-17,929,,,,,26.18,,2018-10-26,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,КалинОбл16,RU000A0JX2S9,0,0.0,,,,106.75,11.51,,8.13,,0,105.98,105.99,106.75,613617.8,611539.2,613617.8,2021-12-17,928,,,,,26.18,,2018-10-26,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,КалинОбл16,RU000A0JX2S9,3,106689.4,106.68,106.69,106.69,106.69,11.79,106.69,8.15,106.68,100,,106.09,106.69,0.0,715069.4,0.0,2021-12-17,928,8.15,,,,26.18,,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,КалинОбл16,RU000A0JX2S9,6,384486.4,105.0,106.68,105.0,105.0,12.08,105.92,8.82,106.68,363,106.1,106.1,105.0,502918.6,501850.8,502918.6,2021-12-17,926,8.45,,,,26.18,,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,КалинОбл16,RU000A0JX2S9,2,270384.0,104.8,104.8,104.8,104.8,13.23,104.8,8.89,104.8,258,105.63,105.62,104.8,761559.8,755159.0,761559.8,2021-12-17,921,8.89,,,,26.18,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,КалинОбл16,RU000A0JX2S9,9,940065.5,104.3,105.55,105.55,105.55,13.52,104.45,8.59,104.56,900,104.53,104.51,105.55,1210449.5,1129753.5,1210449.5,2021-12-17,920,9.04,,,,26.18,,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.55,13.81,,8.59,,0,104.53,104.51,105.55,1210449.5,1129753.5,1210449.5,2021-12-17,919,,,,,26.18,,2018-11-07,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,КалинОбл16,RU000A0JX2S9,3,31243.7,104.14,104.2,104.14,104.15,14.1,104.15,9.16,104.2,30,104.44,104.43,104.15,971309.2,908578.2,971309.2,2021-12-17,918,9.16,,,,26.18,,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,КалинОбл16,RU000A0JX2S9,3,95383.0,105.97,105.99,105.97,105.97,14.96,105.98,8.41,105.99,90,104.62,104.61,105.97,1337076.2,894393.2,1337076.2,2021-12-17,917,8.41,,,,26.18,,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.97,15.25,,8.41,,0,104.58,104.61,105.97,1066692.2,894393.2,1066692.2,2021-12-17,914,,,,,26.18,,2018-11-12,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,КалинОбл16,RU000A0JX2S9,1,3123.6,104.12,104.12,104.12,104.12,15.53,104.12,9.16,104.12,3,105.01,104.61,104.12,1831375.6,897516.8,1831375.6,2021-12-17,913,9.16,,,,26.18,,2018-11-14,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,КалинОбл16,RU000A0JX2S9,1,39634.0,104.3,104.3,104.3,104.3,15.82,104.3,9.09,104.3,38,104.99,104.59,104.3,1871009.6,937150.8,1871009.6,2021-12-17,912,9.09,,,,26.18,,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,КалинОбл16,RU000A0JX2S9,0,0.0,,,,104.3,16.11,,9.08,,0,104.89,104.59,104.3,1764320.2,937150.8,1764320.2,2021-12-17,911,,,,,26.18,,2018-11-15,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,КалинОбл16,RU000A0JX2S9,6,741486.8,104.12,105.01,104.12,104.12,16.97,104.14,9.15,105.01,712,104.45,104.24,104.12,2121320.6,826632.4,2121320.6,2021-12-17,908,9.15,,,,26.18,,2018-11-19,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,КалинОбл16,RU000A0JX2S9,5,75777.4,104.41,106.4,104.41,104.41,17.26,105.25,9.03,105.0,72,104.24,104.24,104.41,817264.2,816214.1,817264.2,2021-12-17,908,8.69,,,,26.18,,2018-11-20,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,КалинОбл16,RU000A0JX2S9,2,6274.3,104.4,105.43,105.43,104.57,17.55,104.57,8.61,104.4,6,104.25,104.23,104.57,823538.5,799447.9,823538.5,2021-12-17,906,8.96,,,,26.18,,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,КалинОбл16,RU000A0JX2S9,0,0.0,,,,104.57,17.84,,8.61,,0,104.25,104.23,104.57,823538.5,799447.9,823538.5,2021-12-17,905,,,,,26.18,,2018-11-21,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,КалинОбл16,RU000A0JX2S9,0,0.0,,,,104.57,18.12,,8.61,,0,104.25,104.23,104.57,823538.5,799447.9,823538.5,2021-12-17,904,,,,,26.18,,2018-11-21,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,КалинОбл16,RU000A0JX2S9,2,21052.1,105.25,105.46,105.25,105.25,18.99,105.26,8.68,105.46,20,104.27,104.26,105.25,887348.2,771554.2,887348.2,2021-12-17,902,8.67,,,,26.18,,2018-11-26,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.25,19.27,,8.67,,0,104.27,104.26,105.25,887348.2,771554.2,887348.2,2021-12-17,900,,,,,26.18,,2018-11-26,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.25,19.56,,8.67,,0,104.27,104.26,105.25,884224.6,771554.2,884224.6,2021-12-17,899,,,,,26.18,,2018-11-26,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.25,19.85,,8.67,,0,104.27,104.26,105.25,844590.6,771554.2,844590.6,2021-12-17,898,,,,,26.18,,2018-11-26,1000,SUR,,,,,RUB
43,EQOB,2018-11-30,КалинОбл16,RU000A0JX2S9,14,143080.8,103.51,105.82,105.82,105.67,20.14,104.44,8.44,104.17,137,,104.29,105.67,0.0,914635.0,0.0,2021-12-17,897,9.0,,,,26.18,,2018-11-30,1000,SUR,,,,,RUB
44,EQOB,2018-12-03,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.67,21.0,,8.43,,0,,104.29,105.67,0.0,914635.0,0.0,2021-12-17,894,,,,,26.18,,2018-11-30,1000,SUR,,,,,RUB
45,EQOB,2018-12-04,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.67,21.29,,8.43,,0,,104.29,105.67,0.0,914635.0,0.0,2021-12-17,893,,,,,26.18,,2018-11-30,1000,SUR,,,,,RUB
46,EQOB,2018-12-05,КалинОбл16,RU000A0JX2S9,0,0.0,,,,105.67,21.58,,8.43,,0,,104.29,105.67,0.0,914635.0,0.0,2021-12-17,892,,,,,26.18,,2018-11-30,1000,SUR,,,,,RUB
47,EQOB,2018-12-06,КалинОбл16,RU000A0JX2S9,1,14560.0,104.0,104.0,104.0,104.0,21.86,104.0,9.18,104.0,14,,104.29,104.0,0.0,929195.0,0.0,2021-12-17,891,9.18,,,,26.18,,2018-12-06,1000,SUR,,,,,RUB
48,EQOB,2018-12-07,КалинОбл16,RU000A0JX2S9,2,4219.4,104.51,105.81,104.51,104.51,22.15,105.49,8.97,105.81,4,,104.29,104.51,0.0,933414.4,0.0,2021-12-17,891,8.56,,,,26.18,,2018-12-07,1000,SUR,,,,,RUB
49,EQOB,2018-12-10,КалинОбл16,RU000A0JX2S9,2,2108.0,105.1,105.7,105.1,105.4,23.01,105.4,8.71,105.7,2,,104.29,105.4,0.0,935522.4,0.0,2021-12-17,888,8.59,,,,26.18,,2018-12-10,1000,SUR,,,,,RUB
50,EQOB,2018-12-11,КалинОбл16,RU000A0JX2S9,1,10463.0,104.63,104.63,104.63,104.63,23.3,104.63,8.91,104.63,10,,104.3,104.63,0.0,945985.4,0.0,2021-12-17,886,8.91,,,,26.18,,2018-12-11,1000,SUR,,,,,RUB
51,EQOB,2018-12-12,КалинОбл16,RU000A0JX2S9,13,44045.4,104.49,105.57,105.2,105.2,23.59,104.87,8.67,104.49,42,,104.32,105.2,0.0,990030.8,0.0,2021-12-17,886,8.81,,,,26.18,,2018-12-12,1000,SUR,,,,,RUB
52,EQOB,2018-12-13,КалинОбл16,RU000A0JX2S9,5,11575.0,105.2,105.3,105.2,105.23,23.88,105.23,8.67,105.2,11,,104.33,105.23,0.0,1001605.8,0.0,2021-12-17,885,8.65,,,,26.18,,2018-12-13,1000,SUR,,,,,RUB
53,EQOB,2018-12-14,КалинОбл16,RU000A0JX2S9,18,468535.4,104.0,105.57,105.28,105.28,24.16,105.05,8.63,105.56,446,,105.07,105.28,0.0,500110.3,0.0,2021-12-17,884,8.73,,,,26.18,,2018-12-14,1000,SUR,,,,,RUB
54,EQOB,2018-12-17,КалинОбл16,RU000A0JX2S9,3,84994.0,105.65,106.44,105.65,105.65,25.03,106.24,8.47,106.44,80,105.23,105.23,105.65,553529.4,544028.6,553529.4,2021-12-17,882,8.23,,,,26.18,,2018-12-17,1000,SUR,,,,,RUB
55,EQOB,2018-12-18,КалинОбл16,RU000A0JX2S9,4,8454.5,105.65,105.8,105.7,105.7,25.32,105.68,8.45,105.8,8,105.24,105.23,105.7,561983.9,552483.1,561983.9,2021-12-17,880,8.46,,,,26.18,,2018-12-18,1000,SUR,,,,,RUB
56,EQOB,2018-12-19,КалинОбл16,RU000A0JX2S9,22,696484.5,103.69,105.8,104.85,103.98,25.6,103.95,8.8,105.8,670,103.95,103.95,103.98,696484.5,696484.5,696484.5,2021-12-17,878,9.18,,,,26.18,,2018-12-19,1000,SUR,,,,,RUB
57,EQOB,2018-12-20,КалинОбл16,RU000A0JX2S9,4,27163.2,103.82,104.5,104.5,104.5,25.89,104.47,8.95,104.5,26,103.97,103.98,104.5,723647.7,619715.0,723647.7,2021-12-17,877,8.96,,,,26.18,,2018-12-20,1000,SUR,,,,,RUB
58,EQOB,2018-12-21,КалинОбл16,RU000A0JX2S9,6,37765.9,104.51,104.95,104.9,104.9,0.0,104.91,8.78,104.94,36,,104.03,104.9,0.0,657480.9,0.0,2021-12-17,898,8.77,,,,26.18,,2018-12-21,1000,SUR,,,,,RUB
