,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
13,TQIF,2018-10-18,ТФГ-руб.об,RU000A0JT7G9,3,12052,302.2,300.4,302.2,301.3,301.3,300.4,40,,298.3,301.3,0,1100771,0,
14,TQIF,2018-10-19,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.3,,,0,,298.3,301.3,0,1100771,0,
15,TQIF,2018-10-22,ТФГ-руб.об,RU000A0JT7G9,1,5998,299.9,299.9,299.9,299.9,299.9,299.9,20,,298.3,299.9,0,1103753,0,
16,TQIF,2018-10-23,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
17,TQIF,2018-10-24,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
18,TQIF,2018-10-25,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
19,TQIF,2018-10-26,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
20,TQIF,2018-10-29,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
21,TQIF,2018-10-30,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
22,TQIF,2018-10-31,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
23,TQIF,2018-11-01,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
24,TQIF,2018-11-02,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
25,TQIF,2018-11-06,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,299.9,,,0,,298.3,299.9,0,1103753,0,
26,TQIF,2018-11-07,ТФГ-руб.об,RU000A0JT7G9,2,6040,302.9,301.1,302.9,302.0,302.0,301.1,20,,298.2,302.0,0,1088557,0,
27,TQIF,2018-11-08,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
28,TQIF,2018-11-09,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
29,TQIF,2018-11-12,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
30,TQIF,2018-11-13,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
31,TQIF,2018-11-14,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
32,TQIF,2018-11-15,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
33,TQIF,2018-11-16,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.0,,,0,,298.2,302.0,0,1088557,0,
34,TQIF,2018-11-19,ТФГ-руб.об,RU000A0JT7G9,1,3027,302.7,302.7,302.7,302.7,302.7,302.7,10,,298.1,302.7,0,745208,0,
35,TQIF,2018-11-20,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
36,TQIF,2018-11-21,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
37,TQIF,2018-11-22,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
38,TQIF,2018-11-23,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
39,TQIF,2018-11-26,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
40,TQIF,2018-11-27,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
41,TQIF,2018-11-28,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
42,TQIF,2018-11-29,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.7,,,0,,298.1,302.7,0,745208,0,
43,TQIF,2018-11-30,ТФГ-руб.об,RU000A0JT7G9,1,399168,302.4,302.4,302.4,302.4,302.4,302.4,1320,,300.4,302.4,0,727036,0,
44,TQIF,2018-12-03,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,302.4,,,0,,300.4,302.4,0,727036,0,
45,TQIF,2018-12-04,ТФГ-руб.об,RU000A0JT7G9,1,3017,301.7,301.7,301.7,301.7,301.7,301.7,10,,300.5,301.7,0,727102,0,
46,TQIF,2018-12-05,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
47,TQIF,2018-12-06,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
48,TQIF,2018-12-07,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
49,TQIF,2018-12-10,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
50,TQIF,2018-12-11,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
51,TQIF,2018-12-12,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
52,TQIF,2018-12-13,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
53,TQIF,2018-12-14,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
54,TQIF,2018-12-17,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
55,TQIF,2018-12-18,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
56,TQIF,2018-12-19,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
57,TQIF,2018-12-20,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
58,TQIF,2018-12-21,ТФГ-руб.об,RU000A0JT7G9,0,0,,,,301.7,,,0,,300.5,301.7,0,727102,0,
